league_name,country_name
UEFA Europa League,eurocups
UEFA European Championship,eurocups
UEFA Conference League,eurocups
UEFA Champions League,eurocups
UEFA Nations League,eurocups
World Cup,Worldcup
Premier League,England
La Liga,Spain
Serie A,Italy
Bundesliga,Germany
Ligue 1,France
Premier League,Russia
Primeira Liga,Portugal
First Division A,Belgium
Eredivisie,Netherlands
MLS,USA
Süper Lig,Turkey
Serie A,Brazil
Liga MX,Mexico
Premiership,Scotland
Bundesliga,Austria
Premier League,Ukraine
Superliga,Denmark
Super League,Switzerland
First NL,Croatia
EFL Trophy,England
Super League 1,Greece
Allsvenskan,Sweden
Czech Liga,Czech Republic
1. Division,Cyprus
Super Liga,Serbia
Saudi League,Saudi Arabia
Ekstraklasa,Poland
Chinese Super League,China
Primera A,Colombia
Ligat Ha'al,Israel
J1 League,Japan
Eliteserien,Norway
First League,Bulgaria
Liga I,Romania
Stars League,Qatar
2. Bundesliga,Germany
1. liga,Slovakia
Division Profesional,Paraguay
Ligue 2,France
Segunda División,Spain
NB I,Hungary
Premyer Liqa,Azerbaijan
Premier League,Kazakhstan
Serie B,Italy
K League 1,Korea Republic
Persian Gulf Pro League,Iran
Pro League,United Arab Emirates
Primera División,Costa Rica
LPF,Panama
UEFA Women's Champions League,intl
AFC Champions League Elite,intl
Damallsvenskan,Sweden
Concacaf Gold Cup,intl
CONMEBOL Copa America,intl
CONMEBOL Libertadores,intl
UEFA World Cup Qualifiers,Worldcup
CONMEBOL World Cup Qualifiers,Worldcup
CAF Africa Cup of Nations,intl
Liga Profesional Argentina,Argentina
A-League Men,Australia
Serie B,Brazil
Primera División,Chile
League Two,England
FA Cup,England
League Cup,England
Championship,England
League One,England
Coupe de France,France
DFB Pokal,Germany
Coppa Italia,Italy
KNVB Beker,Netherlands
Liga 1,Peru
Taça de Portugal,Portugal
Copa del Rey,Spain
CAF Champions League,intl
UEFA European Championship Qualifiers,eurocups
UEFA Super Cup,eurocups
Community Shield,England
Super Cup,Spain
CONMEBOL Sudamericana,intl
CAF Confederation Cup,intl
Indian Super League,India
AFC Champions League,intl
FIFA Confederations Cup,intl
FIFA Intercontinental Cup,Worldcup
2. Liga,Austria
Premier League,Belarus
Carioca Série A,Brazil
Pernambucano 1,Brazil
HNL,Croatia
Liga Pro,Ecuador
Premier League,Egypt
Coupe de la Ligue,France
I-League,India
Liga 1,Indonesia
Botola Pro,Morocco
Eerste Divisie,Netherlands
Cup,Poland
Segunda Liga,Portugal
Cup,Russia
Scottish Cup,Scotland
1. SNL,Slovenia
PSL,South Africa
Thai League 1,Thailand
Copa do Brasil,Brazil
Taça da Liga,Portugal
Copa Argentina,Argentina
Concacaf Champions Cup,intl
Première Ligue,France
Frauen Bundesliga,Germany
Serie A Women,Italy
AFC Challenge Cup,intl
AFC Champions League Two,intl
ASEAN Championship,intl
Primera División Femenina,Spain
FIFA Women's World Cup,World cup
CAF World Cup Qualifiers,Worldcup
AFC World Cup Qualifiers,Worldcup
Concacaf World Cup Qualifiers,Worldcup
WC Qualification Intercontinental Play-offs,Worldcup
OFC World Cup Qualifiers,Worldcup
CAF Super Cup,intl
Superliga,Albania
1st Division,Albania
2nd Division,Albania
Ligue 1,Algeria
Ligue 2,Algeria
2a Divisió,Andorra
1a Divisió,Andorra
Girabola,Angola
Torneo Federal A,Argentina
Prim B Metro,Argentina
Primera Nacional,Argentina
Primera C,Argentina
Primera D,Argentina
Premier League,Armenia
First League,Armenia
Division di Honor,Aruba
South Australia NPL,Australia
New South Wales NPL,Australia
Western Australia NPL,Australia
Landesliga,Austria
Cup,Austria
Regionalliga,Austria
Birinci Dasta,Azerbaijan
Premier League,Bahrain
Premier League,Bangladesh
1. Division,Belarus
Cup,Belgium
Challenger Pro League,Belgium
Third Amateur Division,Belgium
Second Amateur Division,Belgium
Premier League,Bermuda
Primera División,Bolivia
Premijer Liga,Bosnia and Herzegovina
1st League,Bosnia and Herzegovina
Gaúcho 2,Brazil
Piauiense,Brazil
Sul-Matogrossense,Brazil
Potiguar 1,Brazil
Acreano,Brazil
Paranaense 2,Brazil
Serie C,Brazil
Serie D,Brazil
Amazonense 1,Brazil
Mineiro 1,Brazil
Carioca B1,Brazil
Sergipano 1,Brazil
Paulista A2,Brazil
Paraense A,Brazil
Goiano 1,Brazil
Matogrossense 1,Brazil
Tocantinense,Brazil
Rondoniense,Brazil
Alagoano 1,Brazil
Baiano 2,Brazil
Baiano 1,Brazil
Paulista A3,Brazil
Paraibano 1,Brazil
Catarinense 1,Brazil
Paranaense 1,Brazil
Roraimense,Brazil
Gaúcho 1,Brazil
Maranhense 1,Brazil
Cearense 1,Brazil
Brasiliense A,Brazil
Paulista A1,Brazil
Amapaense,Brazil
Capixaba A,Brazil
Second League,Bulgaria
Third League,Bulgaria
Elite One,Cameroon
Canadian Soccer League,Canada
PCSL,Canada
Primera B,Chile
Chinese Football League 1,China
Taiwan Football Premier League,Chinese Taipei
Liga de Ascenso,Costa Rica
Ligue 1,Ivory Coast
Cup,Croatia
Third NL,Croatia
3. Division,Cyprus
2. Division,Cyprus
3. liga,Czech Republic
4. liga,Czech Republic
FNL,Czech Republic
2. Division,Denmark
Denmark Series,Denmark
1. Division,Denmark
Liga Pro Serie B,Ecuador
Primera Division,El Salvador
Non League Div One,England
FA Trophy,England
Non League Premier,England
National League N / S,England
National League,England
Esiliiga A,Estonia
Premium liiga,Estonia
Meistaradeildin,Faroe Islands
1. Deild,Faroe Islands
National Football League,Fiji
Kakkonen,Finland
Suomen Cup,Finland
National 3,France
National 2,France
National 1,France
Erovnuli Liga 2,Georgia
Erovnuli Liga,Georgia
Regionalliga,Germany
Oberliga,Germany
3. Liga,Germany
Premier League,Ghana
Cup,Greece
Gamma Ethniki,Greece
Football League,Greece
Liga Nacional,Guatemala
Primera Division,Guatemala
Ligue Haïtienne,Haiti
Liga Nacional,Honduras
Premier League,Hong Kong
HKFA 1st Division,Hong Kong
NB II,Hungary
Magyar Kupa,Hungary
NB III,Hungary
Besta deild,Iceland
Azadegan League,Iran
FAI Cup,Ireland
First Division,Ireland
League Cup,Ireland
Premier Division,Ireland
Liga Leumit,Israel
Toto Cup Ligat Al,Israel
Serie D,Italy
Premier League,Jamaica
J-League Cup,Japan
Japan Football League,Japan
J2 League,Japan
League,Jordan
1. Division,Kazakhstan
FKF Premier League,Kenya
K3 League,Korea Republic
K League 2,Korea Republic
Premier League,Kuwait
Division 1,Kuwait
1. Liga,Latvia
Virsliga,Latvia
Premier League,Lebanon
Premier League,Libya
1 Lyga,Lithuania
A Lyga,Lithuania
National Division,Luxembourg
Second League,North Macedonia
First League,North Macedonia
Premier League,Malaysia
Super League,Malaysia
Challenge League,Malta
Premier League,Malta
Liga de Expansión MX,Mexico
Super Liga,Moldova
Liga 1,Moldova
Second League,Montenegro
Botola 2,Morocco
Derde Divisie,Netherlands
Premiership,New Zealand
Primera Division,Nicaragua
NPFL,Nigeria
Irish Cup,Northern Ireland
Championship,Northern Ireland
Premiership,Northern Ireland
NM Cupen,Norway
Professional League,Oman
Division Intermedia,Paraguay
Liga 2,Peru
II Liga,Poland
III Liga,Poland
I Liga,Poland
Campeonato de Portugal Prio,Portugal
Super Cup,Portugal
Liga III,Romania
Liga II,Romania
Second League B,Russia
First League,Russia
Campionato,San Marino
Division 1,Saudi Arabia
League Cup,Scotland
Championship,Scotland
Challenge Cup,Scotland
League Two,Scotland
League One,Scotland
Highland / Lowland,Scotland
Prva Liga,Serbia
Premier League,Singapore
League Cup,Singapore
3. liga,Slovakia
Cup,Slovakia
2. SNL,Slovenia
Cup,Slovenia
Tercera División RFEF,Spain
Primera División RFEF,Spain
Sudani Premier League,Sudan
Suriname Major League,Surinam
Superettan,Sweden
Svenska Cupen,Sweden
Schweizer Pokal,Switzerland
2. Liga Interregional,Switzerland
1. Liga Classic,Switzerland
Challenge League,Switzerland
Premier League,Syria
TT Premier League,Trinidad and Tobago
Ligue 2,Tunisia
Ligue 1,Tunisia
2. Lig,Turkey
1. Lig,Turkey
Cup,Turkey
3. Lig,Turkey
Super Cup,Turkey
Persha Liga,Ukraine
Cup,Ukraine
Druha Liga,Ukraine
USL League Two,USA
USL Championship,USA
USL 2,USA
Liga AUF,Uruguay
Segunda División,Uruguay
Super League,Uzbekistan
Segunda División,Venezuela
Primera División,Venezuela
V.League 2,Vietnam
V.League 1,Vietnam
FAW Championship,Wales
Premier League,Wales
Super League,Zambia
Premier Soccer League,Zimbabwe
Premier Division,Gibraltar
AFC Asian Cup,intl
Super Cup,Belarus
Cup,Czech Republic
DBU Pokalen,Denmark
Veikkausliiga,Finland
Ykkönen,Finland
Club Friendlies,intl
Friendlies,intl
League Cup,Iceland
State Cup,Israel
Serie C,Italy
Emperor Cup,Japan
Super Cup,Japan
1. Division,Norway
2. Division,Norway
Super Cup,Russia
League Cup,South Africa
Ettan,Sweden
Division 2,Sweden
US Open Cup,USA
Welsh Cup,Wales
League Cup,Wales
K League Cup,Korea Republic
Northern Territory Premier League,Australia
FQPL 3 Metro,Australia
Northern NSW NPL,Australia
2. Division,Belarus
Super Cup,Ukraine
Super Cup,Germany
Super Cup,Czech Republic
Super Cup,Belgium
Supercupa,Romania
Super Cup,Italy
CONMEBOL Recopa,intl
Super Cup,Bulgaria
Division d'Honneur,Guadeloupe
Trophée des Champions,France
Super Cup,Netherlands
8 Cup,South Africa
Emir Cup,Kuwait
Emir Cup,Qatar
1. Deild,Iceland
Crown Prince Cup,Kuwait
Second Division,Qatar
First League,Montenegro
Srpska Liga,Serbia
Liga Mayor,Dominican Republic
Cup,Vietnam
CECAFA Senior Challenge Cup,intl
Premier League,Barbados
OFC Champions League,intl
Caribbean Cup,intl
Canadian Championship,Canada
FA Trophy,Malta
David Kipiani Cup,Georgia
Liga 2,Indonesia
Cup,Morocco
Super Cup,Norway
Cup,Iceland
Copa Chile,Chile
FIFA U17 World Cup,Worldcup
Cup,Belarus
Ligue 1,Congo DR
Asian Cup Qualification,intl
Korea Cup,Korea Republic
2. liga,Slovakia
Capital Territory NPL,Australia
Cup,Latvia
Cup,Lithuania
Cup,Bulgaria
FIFA U20 World Cup,Worldcup
Cup,Estonia
Cup,Cyprus
Cup,Serbia
Cupa României,Romania
Copa Bicentenario,Peru
Leagues Cup,intl
Besta deild Women,Iceland
Brasileiro U20 A,Brazil
WAFF Championship,Waff Championship
Copa Paraguay,Paraguay
Reserve League,Algeria
Liga Premier Serie A,Mexico
Reserve Pro League,Belgium
Super League 2,Greece
Friendlies Women,intl
COSAFA U20 Championship,intl
Trofeo de Campeones,Argentina
Federation Cup,Bangladesh
Elite Two,Cameroon
Supercopa,Peru
Premier League,Mongolia
Kakkosen Cup,Finland
Supercopa do Brasil,Brazil
NISA,USA
Liga Primera U20,Nicaragua
Reserve League,Belarus
Youth League,Turkmenistan
Kansallinen Liiga,Finland
NWSL Challenge Cup,USA
Copa por México,Mexico
Lao League,Laos
Curaçao Promé Divishon,Curacao
Women’s FA Community Shield,England
U21 Divisie 1,Netherlands
1. Liga Women,Czech Republic
NWSL Fall Series,USA
I Liga Women,Slovakia
U18 Divisie 1,Netherlands
I-League 2,India
Brasileiro de Aspirantes,Brazil
Liga Femenina,Colombia
Nacional B,Bolivia
Copa Paulista,Brazil
Diski Challenge,South Africa
Super Cup,Vietnam
Nasjonal U19 Champions League,Norway
Qatar Cup,Qatar
Olympic Qualifying Concacaf,World
Cup,Bosnia and Herzegovina
Copa Colombia,Colombia
Asian Games,intl
Gulf Cup of Nations,intl
AFF Championship,intl
CAF African Nations Championship,intl
Eredivisie Women,Netherlands
Kvindeliga,Denmark
Division 1,United Arab Emirates
CONMEBOL U20,intl
U19 Bundesliga,Germany
Queensland NPL,Australia
Provincial,Belgium
Premier League,Belize
Super League,Bhutan
Premier League,Botswana
Mineiro 2,Brazil
Cearense 2,Brazil
Premier League,Cambodia
2. Deild,Iceland
Iraqi League,Iraq
A Division,Nepal
Ligue 1,Senegal
Toppserien,Norway
UEFA Women's Championship,intl
Olympics Men,intl
A-League Women,Australia
Svenska Cupen Women,Sweden
Shield Cup,Jordan
Copa do Nordeste,Brazil
Super Cup,Kuwait
Cup,Azerbaijan
League Cup,Northern Ireland
Cup,Egypt
Cup,Albania
Cup,Montenegro
UEFA U21 Championship,intl
Cupa,Moldova
Sultan Cup,Oman
Cup,Kazakhstan
Presidents Cup,United Arab Emirates
Primera B,Colombia
Cup,Armenia
Cup,Tunisia
FA Cup,China
Copa MX,Mexico
Olympics Women,intl
1. Liga Promotion,Switzerland
Super Cup,Egypt
Super Copa,Argentina
EAFF E-1 Football Championship,intl
Superliga,Colombia
Concacaf U20,intl
Coupe Nationale,Algeria
1st Division,South Africa
Cup,South Africa
Super Cup,Chile
Youth Championship,Russia
Premier League Asia Trophy,intl
Super Cup,Saudi Arabia
Super Cup,Albania
UEFA Youth League,eurocups
Federation Cup,Bahrain
Cup,Luxembourg
Cup,Liechtenstein
Coppa Titano,San Marino
Superliga,Kosovo
Ligue A,Burundi
LFA First Division,Liberia
Reykjavik Cup,Iceland
Copa Constitució,Andorra
Championnat National,Benin
Premier League,Rwanda
Ligi kuu Bara,Tanzania
GFA League,Gambia
Ligue 1,Guinea
Ligue 1,Burkina Faso
Premier League,Uganda
Premier League,Ethiopia
Mauritian League,Mauritius
Première Division,Mali
Premier League,Mauritania
Ligue 1,Congo
FAI President's Cup,Ireland
Super Cup,Kazakhstan
Copa Inca,Peru
Super League,Malawi
Super Cup,Andorra
Somali Premier League,Somalia
Copa Verde,Brazil
Vysshaya Liga,Tajikistan
AFC U23 Asian Cup,intl
Pacific Games,intl
International Champions Cup,intl
Super Cup,Israel
Super League,Belgium
Premier League (Crimea),Europe
Hazfi Cup,Iran
Super Cup,Algeria
Primeira Liga,Brazil
Fotbolti.net Cup A,Iceland
Victoria NPL,Australia
Ýokary Liga,Turkmenistan
Premier League,Kyrgyzstan
Tweede Divisie,Netherlands
Super Cup,Iceland
First Amateur Division,Belgium
Super Cup,Poland
1. Liga U19,Czech Republic
National League,Myanmar
Super Cup,Armenia
Malaysia Cup,Malaysia
U21 League,Ukraine
Premier League 2,England
Super Cup,Kosovo
League Cup,United Arab Emirates
Copa Centroamericana,intl
Santosh Trophy,India
Segunda División,Chile
SAFF Championship,intl
J3 League,Japan
Thai League 2,Thailand
Cup,Uzbekistan
King's Cup,Saudi Arabia
Crown Prince Cup,Saudi Arabia
Premier Intermediate League,Northern Ireland
Elitettan,Sweden
Tasmania NPL,Australia
3. SNL,Slovenia
Liga Alef,Israel
UEFA U19 Championship,eurocups
Coppa Italia Primavera,Italy
Super Cup Primavera,Italy
Professional Development League,England
Copa Federacion,Spain
Cup,Kosovo
West Bank Premier League,Palestine
Super Cup,Georgia
Africa U20 Cup of Nations,intl
Dhivehi Premier League,Maldives
Løgmanssteypid,Faroe Islands
U18 Premier League,England
PFL,Philippines
Concacaf League,intl
Frauenliga,Austria
Super League Women,Switzerland
Central Youth League,Poland
Campionato Primavera 1,Italy
DFB Junioren Pokal,Germany
Campionato Primavera 2,Italy
FA Cup,Thailand
São Paulo Youth Cup,Brazil
CONMEBOL Libertadores U20,intl
Concacaf Nations League Qualification,intl
Copa do Brasil U20,Brazil
AIFF Super Cup,India
China Cup,intl
WK-League,Korea Republic
FA Cup,Hong Kong
3. Division,Norway
Liga MX Femenil,Mexico
Liga Revelação U23,Portugal
Liga 1 Feminin,Romania
Arab Club Champions Cup,intl
QSL Cup,Qatar
Senior Shield,Hong Kong
King's Cup,Bahrain
Women's FA Cup,England
Women's Super League,England
WSL 2,England
USL League One,USA
FA Women's League Cup,England
Piala Indonesia,Indonesia
Super Cup,Uzbekistan
Cup,North Macedonia
Canadian Premier League,Canada
Brasileiro Feminino A1,Brazil
Concacaf Caribbean Club Shield,intl
Copa de la Superliga,Argentina
Superliga Women,Russia
Concacaf Nations League,intl
OFC Nations Cup,intl
UEFA U21 Championship Qualification,intl
Premier League,Eswatini
Taça Revelação U23,Portugal
QFA Cup,Qatar
Coupe de la Ligue,Algeria
Super Cup,Jordan
Super Cup,Lithuania
NWSL,USA
Rock Cup,Gibraltar
Women's Olympic Qualifying Asia,intl
Super Copa,Uruguay
Queensland Premier League,Australia
Victoria PL 1,Australia
South Australia State League 1,Australia
NSW League One,Australia
Carioca A2,Brazil
Arab Cup,intl
Supercopa de Ecuador,Ecuador
WE League,Japan
Baltic Cup,intl
COSAFA Cup,intl
Concacaf Gold Cup Qualification,intl
Concacaf Caribbean Cup,intl
Super Cup,Cyprus
Supercopa MX,Mexico
Premier League,Pakistan
Liga Premier Serie B,Mexico
Coppa Italia Serie D,Italy
Copa Paulino Alcantara,Philippines
U20 League,Mexico
3. Division,Denmark
Liga 3,Portugal
Segunda División RFEF,Spain
Second Division A,Egypt
AFC U23 Asian Cup Qualification,intl
Women's WC Qualification Europe,Worldcup
Supercopa,Costa Rica
UEFA U17 Championship Qualification,intl
UEFA U19 Championship Qualification,eurocups
Cup,Jordan
Copa Perú,Peru
Australia Cup,Australia
CECAFA Club Cup,intl
Super Cup,San Marino
Premier League Cup,England
Women's Asian Cup Qualification,Worldcup
Thai Champions Cup,Thailand
U20 Elite League,eurocups
Coppa Italia Serie C,Italy
Reserve League,Netherlands
MLS All-Star,USA
Campeones Cup,intl
Brasileiro Women,Brazil
League Cup,Finland
The Atlantic Cup,intl
League Cup,Thailand
League Cup,Egypt
Tipsport Malta Cup,intl
Ykköscup,Finland
Primera Division,Cuba
Torneo Proyección,Argentina
MLS Next Pro,USA
Africa Cup of Nations Qualification,intl
UEFA U17 Championship,intl
FA Cup,Malaysia
Youth Viareggio Cup,intl
Algarve Cup,intl
Super Cup,United Arab Emirates
Concacaf Women's U17,intl
AFC Women's Asian Cup,intl
Southeast Asian Games,intl
NASL,USA
Super Cup,Iran
SheBelieves Cup,intl
ASEAN U23 Championship,intl
Emirates Cup,intl
Tournoi Maurice Revello,intl
Kirin Cup,intl
Copa Ecuador,Ecuador
1. Division Women,Norway
CONMEBOL/UEFA Finalissima,intl
League 1 Ontario,Canada
Copa Uruguay,Uruguay
Super League,Kenya
Catarinense 2,Brazil
U20 Arab Championship,intl
Chinese Football League 2,China
CAF Women's Africa Cup of Nations,intl
FIFA U20 Women's World Cup,intl
Mediterranean Games,intl
ASEAN U19 Championship,intl
UEFA U19 Championship Women,intl
Piala Presiden,Indonesia
CONMEBOL Copa America Femenina,intl
Diski Shield,South Africa
Concacaf Women's World Cup Qualifiers,intl
Africa U23 Cup of Nations Qualification,intl
Cup,Singapore
Second NL,Croatia
South American Youth Games,intl
CONMEBOL Libertadores Femenina,intl
DFB Pokal Women,Germany
Super Cup,Oman
FIFA U17 Women's World Cup,intl
Premier League,Lesotho
COTIF Tournament,intl
Islamic Solidarity Games,intl
Women's International Champions Cup,intl
1a Divisão Women,Portugal
National League,New Zealand
Super Cup,Croatia
2. Bundesliga Women,Germany
Supercopa,Paraguay
Copa Bolivia,Bolivia
Cup,Ghana
AFC U20 Asian Cup,intl
Cup,Lebanon
Shield Cup,Kenya
CAFA Nations Cup,intl
AFC U17 Asian Cup,intl
All-Island Cup,intl
U23 League,Mexico
Federation Cup,Lebanon
Premier League Summer Series,England
UEFA/CONMEBOL Club Challenge,intl
Second League A,Russia
Concacaf Central American Cup,intl
Goiano 2,Brazil
Premier League,Bhutan
UEFA Women's Nations League,intl
Copa Rio,Brazil
Copa Santa Catarina,Brazil
Paraibano 2,Brazil
Premier League International Cup,intl
Super Cup,Gibraltar
Júniores U19,Portugal
Women's WC Qualification Intercontinental Play-offs,intl
Championnat D1,Gabon
King's Cup,intl
Club Friendlies Women,intl
Super Cup,China
CONMEBOL U17,intl
Concacaf Women's U20,intl
Copa Costa Rica,Costa Rica
Concacaf U17,intl
Charity Shield,Northern Ireland
CAF U23 Cup of Nations,intl
Calcutta Premier Division,India
Ekstraliga Women,Poland
CAC Games,intl
Primeira Divisão,Macao
CAF U17 Cup of Nations,intl
African Football League,intl
Erste Liga Cup,Switzerland
Concacaf W Gold Cup Qualification,intl
Premier Division,Antigua And Barbuda
HKPL Cup,Honkg Kong
Concacaf W Gold Cup,intl
Recopa Catarinense,Brazil
Supercopa Femenina,Spain
Super Cup,Malta
Pan American Games,intl
Women's Olympic Qualifying CAF,intl
CONMEBOL Pre-Olympic Tournament,intl
Paulista A4,Brazil
Copa Alagoas,Brazil
Paulista Série B,Brazil
Yemeni League,Yemen
FA Youth Cup,England
SWPL Cup,Scotland
U19 League,Ukraine
Concacaf U20 Qualification,intl
Torneo Promocional Amateur,Argentina
Goiano U20,Brazil
Paranaense U20,Brazil
AFC U20 Women's Asian Cup,intl
African Games,intl
Baiano U20,Brazil
SWF Scottish Cup,Scotland
CONMEBOL U17 Femenino,intl
Pro League,Uzbekistan
Premier Division,Grenada
Catarinense U20,Brazil
WAFF Championship U23,intl
Copa Rio U20,Brazil
UEFA Women's Championship Qualification,intl
Qatar-UAE Super Cup,intl
Paulista U20,Brazil
Capital Territory NPL 2,Australia
Western Australia State League 1,Australia
UAE-Qatar Super Shield,intl
NNSW League 1,Australia
Tasmania Southern Championship,Australia
Pernambucano U20,Brazil
Tasmania Northern Championship,Australia
Ykkösliiga,Finland
USL Cup,USA
Matogrossense 2,Brazil
Copa Espírito Santo,Brazil
Brasiliense U20,Brazil
AFC U17 Women's Asian Cup,intl
Premiership Women,Northern Ireland
Olympics Intercontinental Play-offs,intl
Liga 3,Georgia
Carioca C,Brazil
Mineiro U20,Brazil
Sergipano U20,Brazil
Super Cup,Bahrain
Alagoano U20,Brazil
Cearense U20,Brazil
WPSL,USA
NPSL,USA
NWSL x Liga MXF Summer Cup,USA
USL W League,USA
Paraense B2,Brazil
Carioca U20,Brazil
Paraibano U20,Brazil
Cearense 3,Brazil
Pernambucano 2,Brazil
Chatham Cup,New Zealand
Esiliiga B,Estonia
Brasileiro U17,Brazil
Recopa,Costa Rica
USL Super League,USA
Copa Venezuela,Venezuela
OFC U19 Championship,intl
Championnat National,Togo
UEFA U17 Championship Women,intl
CONMEBOL U20 Femenino,intl
ASEAN Club Championship,intl
Super Cup,Mongolia
AFC Challenge League,intl
Goiano 3,Brazil
Amazonense 2,Brazil
Concacaf W Champions Cup,intl
Sergipano 2,Brazil
Paranaense 3,Brazil
Potiguar U20,Brazil
Supercup der Frauen,Germany
AFC Women's Champions League,intl
Brasiliense B,Brazil
Mineiro 3,Brazil
Estadual Junior U20,Brazil
Super Cup,Ghana
Alagoano 2,Brazil
Capixaba B,Brazil
Paraense B1,Brazil
Maranhense 2,Brazil
AFC U20 Asian Cup Qualification,intl
Pernambucano 3,Brazil
Potiguar 2,Brazil
Gaúcho 3,Brazil
U19 Divisie 1,Netherlands
Catarinense 3,Brazil
Super Copa International,Argentina
Carioca B2,Brazil
National League Cup,England
Paraense U20,Brazil
Copa Gaúcha,Brazil
CECAFA U20 Championship,intl
Sapling Cup,Hong Kong
AFC U17 Asian Cup Qualification,intl
AGCFF Gulf Champions League,intl
Copa Fares Lopes,Brazil
CAF Women's Champions League,intl
Super Cup,Cameroon
MFL Cup,Malaysia
EAFF Football Championship Qualification,intl
Coppa Italia Women,Italy
Torneo Amistoso de Verano,Bolivia
Concacaf Women's U20 Qualification,intl
Copa LDF,Dominican Republic
Challenge Cup,Malta
Hun Sen Cup,Cambodia
Northern Super League,Canada
Women's President's Cup,Ireland
Copa do Brasil U17,Brazil
Supercopa,Venezuela
Brasileiro U20 B,Brazil
Copa Grão Pará,Brazil
FIFA Club World Cup,Worldcup
Super Cup,Latvia
Super Cup,Faroe Islands
African Nations Championship Qualification,intl
